0, 120, candidates {
  content {
    role: "model"
    parts {
      text: "```json\n[\n  {\n    \"startOffset\": 0,\n    \"endOffset\": 16,\n    \"chapterSummary\": \"A woman in a sparkling dress walks down a corridor.\"\n  },\n  {\n    \"startOffset\": 16,\n    \"endOffset\": 32,\n    \"chapterSummary\": \"Madeleine West is an Australian actress. She reveals that she was not defended as a child and now has the opportunity to defend herself.\"\n  },\n  {\n    \"startOffset\": 32,\n    \"endOffset\": 48,\n    \"chapterSummary\": \"Madeleine West talks about her abuser, Peter White, a plumber in Woodend, a town north of Melbourne.\"\n  },\n  {\n    \"startOffset\": 48,\n    \"endOffset\": 64,\n    \"chapterSummary\": \"Detective Scott Tudnem is a Victorian police officer. He talks about the risk he took to help Madeleine West confront her abuser.\"\n  },\n  {\n    \"startOffset\": 64,\n    \"endOffset\": 80,\n    \"chapterSummary\": \"Madeleine West says the abuse started when she was 4.5 years old.\"\n  },\n  {\n    \"startOffset\": 80,\n    \"endOffset\": 96,\n    \"chapterSummary\": \"Madeleine West talks about how she felt when the abuse happened and how it affected her childhood.\"\n  },\n  {\n    \"startOffset\": 96,\n    \"endOffset\": 112,\n    \"chapterSummary\": \"Madeleine West and Amanda Lee, childhood friends who were both abused by Peter White, both went to police independently. \"\n  },\n  {\n    \"startOffset\": 112,\n    \"endOffset\": 120,\n    \"chapterSummary\": \"Detective Scott Tudnem was able to connect the dots and build a case against Peter White.\"\n  }\n]\n```"
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.170369923
    severity: HARM_SEVERITY_LOW
    severity_score: 0.227297768
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.190573335
    severity: HARM_SEVERITY_LOW
    severity_score: 0.224905506
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: LOW
    probability_score: 0.538285494
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.40857172
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: LOW
    probability_score: 0.353874624
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.40245083
  }
}
usage_metadata {
  prompt_token_count: 851417
  candidates_token_count: 433
  total_token_count: 851850
}
, You are an assistant tasked with summarizing videos for retrieval.                     These summaries will be embedded and used to retrieve the raw video.                    Chapterize the video content by grouping the video content into chapters                     with intervals of 16 seconds and providing a concise detail for each chapter that is well optimized for retrieval.                    If there is a famous person like politician, celebrity or athlete, indicate their name and describe what they are famous for.                    Describe important scenes in the video concisely.                    If you are not sure about any info, please do not make it up.                     Only consider video from 0 seconds to 120 seconds. Ignore analyzing the rest of video.                    If it is the last chapter, set the endOffset to 120 instead.\ 
                    If a chapter includes prohibited content, set chapterSummary to "".                    For result, follow JSON schema.<JSONSchema>"\n{\n  \"description\": \"A list of chapters\",\n  \"type\": \"array\",\n  \"items\": {\n\t\"type\":\"object\",\n\t\"properties\": {\n\t\t\"startOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"endOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"chapterSummary\": {\n\t\t\t\"type\":\"string\"\n\t\t}\n\t},\n\t\"required\": [\"startOffset\",\"endOffset\",\"chapterSummary\" ]\n  }\n}\n"</JSONSchema>"
                    
120, 240, candidates {
  content {
    role: "model"
    parts {
      text: "```json\n[\n  {\n    \"startOffset\": 120,\n    \"endOffset\": 136,\n    \"chapterSummary\": \"A woman is talking about the most remarkable things she has ever seen. A woman is talking about the most remarkable things she has ever seen.  \"\n  },\n  {\n    \"startOffset\": 136,\n    \"endOffset\": 152,\n    \"chapterSummary\": \"The woman says it was one of the most remarkable things she had ever seen.  The woman says it was one of the most remarkable things she had ever seen.  \"\n  },\n  {\n    \"startOffset\": 152,\n    \"endOffset\": 168,\n    \"chapterSummary\": \"She decided to confront the man she says raped her. She decided to confront the man she says raped her.  \"\n  },\n  {\n    \"startOffset\": 168,\n    \"endOffset\": 184,\n    \"chapterSummary\": \"A detective convinced the woman to wear a hidden recording device. A detective convinced the woman to wear a hidden recording device. \"\n  },\n  {\n    \"startOffset\": 184,\n    \"endOffset\": 200,\n    \"chapterSummary\": \"The woman talks about the man\'s face dropping when he realized he was being confronted.  The woman talks about the man\'s face dropping when he realized he was being confronted.  \"\n  },\n  {\n    \"startOffset\": 200,\n    \"endOffset\": 216,\n    \"chapterSummary\": \"The woman says the man had been waiting for this day to happen.  The woman says the man had been waiting for this day to happen.  \"\n  },\n  {\n    \"startOffset\": 216,\n    \"endOffset\": 232,\n    \"chapterSummary\": \"The woman talks about what it was like to be raped as a little girl. The woman talks about what it was like to be raped as a little girl. \"\n  },\n  {\n    \"startOffset\": 232,\n    \"endOffset\": 240,\n    \"chapterSummary\": \"The woman says she has no idea how many times she was raped. The woman says she has no idea how many times she was raped. \"\n  }\n]\n```"
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.176529601
    severity: HARM_SEVERITY_LOW
    severity_score: 0.240953162
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.204341903
    severity: HARM_SEVERITY_LOW
    severity_score: 0.247441471
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: LOW
    probability_score: 0.542984426
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.422921658
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: LOW
    probability_score: 0.390417755
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.44613269
  }
}
usage_metadata {
  prompt_token_count: 851419
  candidates_token_count: 534
  total_token_count: 851953
}
, You are an assistant tasked with summarizing videos for retrieval.                     These summaries will be embedded and used to retrieve the raw video.                    Chapterize the video content by grouping the video content into chapters                     with intervals of 16 seconds and providing a concise detail for each chapter that is well optimized for retrieval.                    If there is a famous person like politician, celebrity or athlete, indicate their name and describe what they are famous for.                    Describe important scenes in the video concisely.                    If you are not sure about any info, please do not make it up.                     Only consider video from 120 seconds to 240 seconds. Ignore analyzing the rest of video.                    If it is the last chapter, set the endOffset to 240 instead.\ 
                    If a chapter includes prohibited content, set chapterSummary to "".                    For result, follow JSON schema.<JSONSchema>"\n{\n  \"description\": \"A list of chapters\",\n  \"type\": \"array\",\n  \"items\": {\n\t\"type\":\"object\",\n\t\"properties\": {\n\t\t\"startOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"endOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"chapterSummary\": {\n\t\t\t\"type\":\"string\"\n\t\t}\n\t},\n\t\"required\": [\"startOffset\",\"endOffset\",\"chapterSummary\" ]\n  }\n}\n"</JSONSchema>"
                    
240, 360, candidates {
  content {
    role: "model"
    parts {
      text: "```json\n[\n  {\n    \"startOffset\": 240,\n    \"endOffset\": 256,\n    \"chapterSummary\": \"White was considered a pillar of society, everyone loved him, and this gave him a get-out-of-jail-free card.\"\n  },\n  {\n    \"startOffset\": 256,\n    \"endOffset\": 272,\n    \"chapterSummary\": \"White took advantage of Madeline in the most grotesque way, and she suffered the most serious and sustained abuse.\"\n  },\n  {\n    \"startOffset\": 272,\n    \"endOffset\": 288,\n    \"chapterSummary\": \"Madeline recalls a terrifying memory from her childhood that left her feeling lost, confused, and ashamed.\"\n  },\n  {\n    \"startOffset\": 288,\n    \"endOffset\": 304,\n    \"chapterSummary\": \"Madeline\'s parents were young and unaware of what was happening to her. They had no idea how to help. \"\n  },\n  {\n    \"startOffset\": 304,\n    \"endOffset\": 320,\n    \"chapterSummary\": \"Madeline went to the police after 30 years, but police at the time had no information to make a case against White. \"\n  },\n  {\n    \"startOffset\": 320,\n    \"endOffset\": 336,\n    \"chapterSummary\": \"White was a respected plumber in the small Victorian town of Woodend. His house was a magnet for kids. \"\n  },\n  {\n    \"startOffset\": 336,\n    \"endOffset\": 352,\n    \"chapterSummary\": \"Detective Scott Tuddenham took the risk to investigate White. He had seen many vile offenders, but this case was unique. \"\n  },\n  {\n    \"startOffset\": 352,\n    \"endOffset\": 360,\n    \"chapterSummary\": \"Madeline and other victims who were abused by White independently went to the police, with no knowledge of each other. \"\n  }\n]\n```"
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.176245868
    severity: HARM_SEVERITY_LOW
    severity_score: 0.23370637
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.189221263
    severity: HARM_SEVERITY_LOW
    severity_score: 0.230399877
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: LOW
    probability_score: 0.544438124
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.414543271
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: LOW
    probability_score: 0.353651404
    severity: HARM_SEVERITY_MEDIUM
    severity_score: 0.408807695
  }
}
usage_metadata {
  prompt_token_count: 851419
  candidates_token_count: 483
  total_token_count: 851902
}
, You are an assistant tasked with summarizing videos for retrieval.                     These summaries will be embedded and used to retrieve the raw video.                    Chapterize the video content by grouping the video content into chapters                     with intervals of 16 seconds and providing a concise detail for each chapter that is well optimized for retrieval.                    If there is a famous person like politician, celebrity or athlete, indicate their name and describe what they are famous for.                    Describe important scenes in the video concisely.                    If you are not sure about any info, please do not make it up.                     Only consider video from 240 seconds to 360 seconds. Ignore analyzing the rest of video.                    If it is the last chapter, set the endOffset to 360 instead.\ 
                    If a chapter includes prohibited content, set chapterSummary to "".                    For result, follow JSON schema.<JSONSchema>"\n{\n  \"description\": \"A list of chapters\",\n  \"type\": \"array\",\n  \"items\": {\n\t\"type\":\"object\",\n\t\"properties\": {\n\t\t\"startOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"endOffset\": {\n\t\t\t\"type\":\"integer\"\n\t\t},\n\t\t\"chapterSummary\": {\n\t\t\t\"type\":\"string\"\n\t\t}\n\t},\n\t\"required\": [\"startOffset\",\"endOffset\",\"chapterSummary\" ]\n  }\n}\n"</JSONSchema>"
                    
360, 480, candidates {
  content {
    role: "model"
    parts {
      text: "```json\n[\n  {\n    \"startOffset\": 360,\n    \"endOffset\": 376,\n    \"chapterSummary\": \"A woman who was a childhood friend of Madeleine\'s talks about the abuse she went through and how she blames herself for not speaking up earlier. She also talks about how difficult it was for her to let go of that guilt.\"\n  },\n  {\n    \"startOffset\": 376,\n    \"endOffset\": 392,\n    \"chapterSummary\": \"The detective who worked tirelessly on the case talks about how he knew from the start that it wasn\'t an ordinary case.\"\n  },\n  {\n    \"startOffset\": 392,\n    \"endOffset\": 408,\n    \"chapterSummary\": \"The detective talks about the nature of the crimes against Madeleine\'s abuser, Peter White.\"\n  },\n  {\n    \"startOffset\": 408,\n    \"endOffset\": 424,\n    \"chapterSummary\": \"Madeleine talks about the impact of the crimes against her by Peter White and the  shame and guilt she carries with her.\"\n  },\n  {\n    \"startOffset\": 424,\n    \"endOffset\": 440,\n    \"chapterSummary\": \"The detective talks about how he knew from Peter White\'s reaction that the crimes against Madeleine were not a one-off.\"\n  },\n  {\n    \"startOffset\": 440,\n    \"endOffset\": 456,\n    \"chapterSummary\": \"The detective talks about the importance of victims telling their stories and being authentic. The interviewee talks about how the detective disarmed her and made her feel safe to speak up.\"\n  },\n  {\n    \"startOffset\": 456,\n    \"endOffset\": 472,\n    \"chapterSummary\": \"The detective talks about how he felt intrigued by the crimes against Madeleine and how he knew there were more victims out there. The interviewee explains that her family was very young and could not put together a case against Peter White.\"\n  },\n  {\n    \"startOffset\": 472,\n    \"endOffset\": 480,\n    \"chapterSummary\": \"\"\n  }\n]\n```"
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.16491954
    severity: HARM_SEVERITY_LOW
    severity_score: 0.224055439
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.189521074
    severity: HARM_SEVERITY_LOW
    severity_score: 0.22354652
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: LOW
    probability_score: 0.527316511
    severity: HARM_SEVERITY_LOW
    severity_score: 0.397412091
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: LOW
    probability_score: 0.34444344
    severity: HARM_SEVERITY_LOW
    severity_score: 0.396184951
  }
}
usage_metadata {
  prompt_token_count: 851419
  candidates_token_count: 506
  total_token_count: 851925
}
